,Body
6788,1. بررسي ايميل ها 2. قارچ سفيد : کارقفل - تماس با يعقوبي - اني دسک - وصل به فني 3. تماس با صيفي پور - اعلام نتيجه مذاکره مشتري معرفي شده و تععين اقدامات بعي 4. کارآسان در - برگشت به آقاي کرمي 5. عمران تراشه - خانم قانع - زدن فرم قفل 6. اعلام اتمام کار به يعقوبي 7. مخابرات - وکيلي 8. عمران تراشه - قفل 9. تماس آقاي صفري - نمايشگاه 10. آسان در - اديت و چاپ قراردادها - کيفيت پايين - چاپ در مالي 11. حسابدار سبز - تماس درباره مشتري 12. تماس آزادنيا - مجددا بعد از ظهر زنگ بزنم 13. تماس خانم قانع - گرفتن آدرس - کار ارتقا 14. اني دسک و وصل به فني 15. حسابدارسبز - درباره اطلاعات رسمي مشتري معرفي شده و ارسال آن 16. تماس با غفاري - قرارداد - شرکت نرفته درگير افتتاح فروشگاه - قرارداد را اعلام مي کند . 17. خانم نيري - نيکان سازه - آقاي معصومي نتيجه را گفته؟ پرداختي سرور ما = چي ميشه 18. بحري – تماس - پاسخ به سوالات - قرار را براي پنج شنيه ست مي کند . 19. انوشه - پيغام دادم براي پرداخت پيش فاکتور ارسالي 20. سپهرنت ايرانيان - تماس براي نتيجه بررسي - با شرکت ديگه اي قرارداد بستن . 21. تماس با فريد براي خريد : از استعلام مشتري بازخورد خوبي نگرفته . بيشتر موارد پشتيباني بوده . گفتن پايا باگ ها رو کاملا قبول مي کنه اما تحويل طول مي کشه - ورژن جديد گذاشته که باگ زياد داشت اما بهتر شده - اما بحث مشکل پشتيباني سرجاشه . 22. تماس مشتري - عبدالرحيم محمدنيا از قطر - پشتيباني مي خواهد - نرم افزار را از مظلومي گرفته . روند تغيير لايسنس توضيح داده شد و دليل مشکل هم اعلام شد . به مظلومي ميگه نامه بزنه 23. تکميل فرم ستادايران 24. پيگيري قفل آسان در از آقاي کرمي 25. دريافت نامه ظلومي 26. تماس با خانم ابراهيمي براي اين که IP STSTIC دارند يا نه و تکليف ما براي ارسال قفل ا اعزام نيرو چيست 27. تماس با خانم طالبي آسان در 28. تکميل فرم 29. تماس مشتري از مشهد - استعلام حسابرس آنلاين 30. کارقانع مجددا به آقاي کرمي 31. تکميل و ارسال نامه به آقاي صفري؟؟؟ 32. يزدان پرست - تماس براي هماهنگي جلسه 33. صحبت تلفني با مظلومي - تغيير نام لايسنس - ارجاع نامه به پشتيباني 34. تماس با آسان در – طالبي و فتحي 35. تماس افزايش کاربر خانم ميرزايي - آقاي رضازاده 36. تماس آقاي صفري؟؟ 37. مشتري - شاه نعمت الله – پيوند - قيمت - پيشنهاد جلسه 38. تماس با مشتري - خانم بيگلري - سپيدار خريده 39. خانم انوشيرواني - کتاب حسابداري عزيز نبوي 40. سايت نمايشگاه – جاي ما پر نشده باشد - تماس براي تمديد 41. تماس با معين گستر براي خريد - تصميم گيري نشده – درگير بيمه ماليات - هفته بعد تصميم 42. پيگيري قفل عمران تراشه - آقاي کرمي - قفل - کانفيگ گذاشته - نصب با آقاي خبازي 43. ارسال قفل عمرا تراشه 44. تماس و قرار جلسه با خانم فراهاني 45. تماس با مقصودي براي جلسه - کافي شاپ، خريد 2 ، سه ماه عقب افتاد – ديتا فرستاده - آبان تماس 46. مهدوي - مزمز - تماس براي جلسه استعلام ها در حال بررسي 47. تماس با شيرزاد براي خريد - مسافرت است و شرکت نرفته 48. کرباسي - تماس - شکايت - ازپشتيباني راضي - از روند مالي ناراضي -2 ماهه درخواست داده در سندها مراکز باشه -140 واري - براي 5 تومن ارزش افزوده تحويل نشده - سفارش کنسل - 25 روز طول کشيده مبلغ برگرده و مالي هر بار مي گفته برميگردونم . تاريخ چک ارسال شده را 26 ام داده با 10 تومن پول تيپاکس 49. طالبي - تماس - آسان در - سرور خريداري بشه - آي پي تست بشه و بعد قفل ارسال بشه - قرارداد را نگهدارم . 50. قرار تاجيک و شعاعي هماهنگ 51. تماس با قزوين براي افزايش کاربر 52.
6801,ماده دو : موضوع قرارداد فروش بسته ي نرم افزاري « اتوماسيون مالي تحت وب پايدار با قابليت استفاده 15 کاربر همزمان ، 6 شعبه و دو دفتر مالي به صورت پيش فرض و مشتمل بر زيرسيستم هاي : حسابداري مالي و حسابداري ارزي، خريد و تدارکات، فروش و بازرگاني، خزانه داري، انبارداري و حسابداري انبار، اموال و دارايي هاي ثابت، حقوق و دستمزد، توليد و بهاي تمام شده ، به انضمام 25 ساعت آموزش رايگان و پشتيباني رايگان يکساله با توجه به قرارداد نصب و خدمات پس از فروش شماره 4702/ ص /97 ماده چهار : مبلغ قرارداد 4-1- مبلغ کل براي قرارداد فروش بسته نرم افزاري اتوماسيون مالي تحت وب پايدار، معادل مبلغ 370.000.000 ريال مي باشد که با احتساب مبلغ 10.000.000 ريال به عنوان تخفيف، مبلغ قابل پرداخت با احتساب 9 درصد ماليات بر ارزش افزوده، معادل 392.400.000 ريال خواهد بود . ماده پنج : نحوه پرداخت نحوه پرداخت به شرح ذيل است : پرداخت به شماره حساب جاري :1-12061186-43-1812 ، شماره کارت : 7194-9645-8110-6273 يا شماره شبا : IR380630181204312061186001 بانک انصار شعبه ولي عصر به نام شرکت پايا افزارگستر صدرا 5-1- پرداخت 40 درصد مبلغ، معادل 156.960.000 ريال به عنوان پيش پرداخت در تاريخ امضاي قرارداد 5-2- پرداخت 30 درصد مبلغ، معادل 117.720.000 ريال به تاريخ 26/07/1397 5-3- پرداخت 20 درصد مبلغ، معادل 78.480.000 ريال به تاريخ 26/08/1397 5-4- پرداخت 10 درصد مبلغ، معادل 39.240.000 ريال به تاريخ 26/09/1397 تبصره 5: رسيد کليه چک هاي دريافتي و پرداخت هاي صورت گرفته از طرف خريدار، ضميمه قرارداد حاضر خواهد شد . تبصره 6: در صورت عدم اجراي تعهدات مالي از جانب خريدار، فروشنده هيچ گونه الزامي براي ادامه تعهدات خود نخواهد داشت .
6846,سلام جلسه پشتيباني امروز انجام شد . در غياب شما . لطفا فايل ضميمه رو گوش دهيد . با سپاس .
6848,سلام اف تي پي 94.232.173.174 پر شده ، اگه توش ديتا داريد برداريد و کلا شيفت دليت کنيد .
6872,با سلام عنوان هاي مورد نياز پشتيباني جهت استفاده در فرم تماس سيستم اتوماسيون اداري به شرح ذيل ميباشد : اعلام موارد تغييرات ديتابيس ( اعم از اصلاح کدينگ حساب ها ويا حذف برگه ها ) درخواست بک آپ پيگيري ايميل هاي ارسال شده / دريافت شده آموزش آنلاين ( با ريموت ) هماهنگي قرار آموزش ارتباط به ساير همکاران ( در گروه تماس موارد ديگر ) موارد مورد نياز براي ايجاد کار : کانورت اطلاعات کار با سرور مشتريان درخواست طراحي گزارش
6909,بسمه تعالي ليست قيمت ها ي محصولات ويندوزي شرکت پايا افزار در نيمه دوم سال 97 به شرح ذيل مي باشد : رديف نام نرم افزار سطح با توجه به امکانات قيمت ( ريال ) قيمت به ازاي هر کاربر شبکه ( ريال ) قيمت نرم افزار دوم ( ريال ) ملاحظات 1 حسابرس آنلاين ( صندوقچه ) سطح 1 2.000.000 1.650.000 - زيرسيستم هاي کلي : خريد و فروش، انبارداري، خزانه داري، حسابداري اتوماتيک 1.850.000 1.500.000 - سطح 2 3.000.000 1.650.000 - زيرسيستم ها : امکانات سطح 1 + ثبت فاکتور فروش اقساطي، دريافت اقساط، طراحي فاکتور، خروجي صورتحساب به word ، excel و ... ، صورت وضعيت دسته چک، طراحي و چاپ روي چک، گزارش از صورت وضعيت دسته چک 2.750.000 1.500.000 - سطح 3 3.800.000 1.650.000 - زيرسيستم ها : امکانات سطح 1 و 2+ چاپ بارکد، چاپ بارکد تنظيمي کاربر، ثبت فاکتور فروش از بارکدخوان، کليدهاي ميانبر درخواست کالا براي ثبت فاکتور 3.500.000 1.500.000 - سطح 4 4.500.000 1.650.000 - زيرسيستم ها : امکانات سطح 1 و 2 و 3+ جابجايي انبار به انبار، مشاهده موجودي کالا و انتقال کالاها،ردريافت و پرداخت کالاهاي اماني و برگشت از امانات، رسيددستي با کنترل موجودي، ثبت حواله انبار با کنترل موجودي، ثبت واحد شمارش دوم 4.150.000 1.500.000 - 2 حسابرس ويژه ( پايشگر ) سطح 1 6.900.000 2.500.000 - زيرسيستم ها : حسابداري، دريافت و پرداخت، چک و بانک، خريد، فروش، انبار، اموال 6.400.000 2.300.000 سطح 2 11.500.000 2.500.000 - زيرسيستم ها : امکانات سطح 1 + حقوق و دستمزد 10.600.000 2.300.000 - 3 پايا ( پنجره ) سطح 1 7.800.000 3.000.000 4.700.000 زيرسيستم ها : حسابداري، دريافت و پرداخت، چک و بانک، سيستم پيمانکاري 7.20.000 2.750.000 4.400.000 سطح 2 13.800.000 3.000.00 8.300.000 زيرسيستم ها : امکانات سطح 1 + حقوق و دستمزد 12.700.000 2.750.000 7.650.000 سطح 3 19.800.000 3.000.000 11.900.000 زيرسيستم ها : امکانات سطح 1+ خريد، فروش، انبار، اموال 18.200.000 2.750.000 11.000.000 سطح 4 22.500.000 3.000.000 13.500.000 زيرسيستم ها : امکانات سطح 1 و 3 + حقوق و دستمزد 20.700.000 2.750.000 12.400.000 سطح 5 36.000.000 3.000.000 5.500.000 زيرسيستم ها : امکانات سطح 1 و 3 و 4 + توليد و بهاي تمام شده 33.000.000 2.750.000 5.000.000 4 پايا ( پنجره ) نسخه تعميرگاهي 30.000.000 3.500.000 - سطح 4 نرم افزار پايا + به همراه 5 کاربر شبکه به صورت پيش فرض مخصوص تعميرگاه هاي خودرو 27.550.000 2.750.000 - نسخه پذيرش کالا 30.000.000 3.500.000 - سطح 4 نرم افزار پايا + به همراه 5 کاربر شبکه به صورت پيش فرض مخصوص ساير تعميرگاهها بجز خودرو 27.550.000 2.750.000 - نسخه پخش 30.000.000 3.500.000 - سطح 4 نرم افزار پايا + به همراه 5 کاربر شبکه به صورت پيش فرض امکانات پخش کالا 27.550.000 2.750.000 - امکانات مازاد پايا که با هزينه جداگانه تحويل مي گردد رديف شرح امکانات قيمت ( ريال ) توضيحات 1 صدور سند اتوماتيک در بخش هاي دريافت و پرداخت، چک و بانک، خريد و فروش 7.500.000 7.000.000 2 انتقال الحاقات به سال مالي مجازي 7.500.000 7.000.000 3 سريال کالا 7.500.000 7.000.000 4 رپليکيت 13.500.000 12.500.000 قيمت ها داراي دو رديف که رديف اول با احتساب ارزش افزوده و رديف دوم بدون احتساب ارزش افزوده مي باشد .
6922,همکاران محترم با سلام و احترام لطفا فايل ارسال شده کانورت به حسابرس ويژه گردد . با سپاس
6960,بسمه تعالي همکاران گرامي با سلام احتراما به استحضار مي رساند ، جهت گزارش گيري پايان ماه مبني بر پرداخت حقوق ، لطفا تا پايان ساعت امروز تمامي درخواست هاي خود را در سيستم اطلس وارد نماييد .
6968,بسمه تعالي با سلام 1) شرح وظيفه مدير پشتيباني ( آقاي خبازي ) 2) خانم موسوي رابط فني ( تمامي اشکالات توسط خانم موسوي گرفته شود ) 3) جلسه پشتيباني که وظايف خود را ميدونن 4) راه اندازي تيکت
6973,سلام عليکم مطابق با تصميمات اخذ شده در تاريخ 01/09/97 همکاران گرامي براي هر درخواست يا کار جديد يا پيگيري هر گونه کاري حتما بايد از طريق سيستم اتوماسيون پندار به آقاي صفري نامه داخلي يا کار ثبت کنند و در آينده صرفا مکاتبات اداري که از طريق سيستم اتوماسيون پندار انجام شده باشد ملاک خواهد بود و صحبتهاي شفاهي و پيغامها و گفتگوهاي تلفني مورد استناد قرار نخواهد گرفت .
6976,"همچنين نظر تخصصي کارشناسان ارزياب دانش ‌ بنيان در ارتباط با محصولات شرکت به شرح زير مي ‌ باشد : نام محصول 1: نرم افزار اتوماسيون مالي تحت وب پايدار : نقات قوت : کسب و کار مناسب در محصول براي شرکت هاي کوچک و متوسط ( اندازه شرکت با تعريف ERP در دنيا ارايه شده است .), معماري بروز در حوزه محصول , فرآيندهاي تست جامع نسبتا مناسب ( در ضمينه پوشش تست و تنوع تست نياز به توسعه دارد ) نقاط ضعف : محصول نگاه مالي دارد و ديگر حوزه ها مانند برنامه ريزي توليد , فرآيندهاي تدارکات و فروش و ... چندان عميق نيست و اين موضوع کاربري مشتري را محدود کرده و در صورت توسعه نياز مشتري جهت پشتيباني از تمام نياز سازمان و نه تنها بخش مالي مجبور به تغيير نرم افزار است , عدم وجود مکانيزم کامل در ساخت و انتشار محصول , مديريت مستندات نياز به تکميل دارد . نام محصول 2: نرم افزار اتوماسيون اداري , مديريت فرآيند و CRM تحت وب پندار : نقاط قوت : راحتي و سهولت استفاده از ابزار BPMS نقاط ضعف : مدلسازي و تنوع فرايندها و کارکردهاي قابل پياده سازي با ابزار BPMS در حال حاضر کامل نبوده و نيازمند توسعه مي باشد , تست خودکار پوشش کامل ندارد . مستندات نيازمند تکميل مي باشند . « شما مي توانيد براي رفع مشکلات و نقاط ضعف فني يا توسعه فني محصولات خود از خدمت مشاوره فني در حوزه IT ، مرکز شرکت ها و مؤسسات دانش بنيان استفاده نماييد . اين خدمت در 11 سرفصل نرم ‌ افزارهاي سازماني، نرم ‌ افزارهاي خدمات، نرم ‌ افزارهاي بانکي، کسب ‌ وکارهاي آنلاين، پلتفرم ‌ هاي توزيع محتوا، سامانه ‌ هاي هوشمند، خط و زبان فارسي، رايانش ابري، سکوهاي نرم ‌ افزاري، امنيت، بازي ‌ هاي رايانه ‌ اي و شبيه ‌ سازها قابل ارائه است . استفاده از اين خدمت براي تمامي شرکت هاي دانش بنيان به صورت رايگان بوده و براي دريافت خدمات مشاوره فني مي توانيد به سامانه bizservices.ir مراجعه کرده و درخواست خود را تحت عنوان "" پيشخوان مشاوره توسعه فني محصولات "" ثبت کنيد .»"
6978,اسلايدرهاي ما با توجه به محصولات و خدمات مهم و شعارها معرفي اجمالي خودمان و معرفي کلي حوزه فعاليت و نرم افزارها ( تفکيک ها به ترتيب حوزه - اندازه - تحت وب و ويندوز ) در منو صورت پذيرد . تفاوت تحت ويندوز و وب و تحت شبکه و کلود معرفي اجمالي محصولات مهمي که داريم معرفي ماژول هاي مهمي که داريم چرا پايا را انتخاب مي کنم؟ مزيت هاي پايا نسبت به ديگران معرفي حوزه هاي فعاليت در خدمات بخشي از مشتريان مهم بخشي از داستان هاي موفقيت راههاي ارتباطي با ما ( شماره ) شبکه هاي اجتماعي که حضور داريم خدماتي که به آموزشگاهها براي تدريس نرم افزارهاي تحت وب و تحت ويندوز مي دهيم را Bold کنيم : يکي از مساله هاي ايراني ها کمبود سواد مالي است و مي توانيم يکي از اهداف را افزايش سواد مالي قرار دهيم با توجه به پايين بودن هزينه نرم افزارها حمايت هاي خا ص ي که ممکن است از يک سري امور احتماعي داشته باشيم ( پايا افزار حامي ...) تازه هاي محصولات ارائه شده پايا تازه هاي رويدادهاي پايا مثل نمايشگاه و ... عضويت خبرنامه پايا لينک ( صفحه ) آپديت هاي نرم افزارها تماس آنلاين با پايا ( تيکت )
6979,خدمت مديريت محترم شرکت پايا افزار باسلام ضمن عرض احترام جناب اقاي صفري بنده به دليل مشکلات تلفن که شامل ضعيف بودن صداي تلفن و قطع شدن تلفن بصورت خود بخود ميباشد به اقاي رضا زاده درخواست هدست دادم . چون گاهي ب دليل ضعف صدا يا قطع شدن تلفن مشتريان دچار سوءتفاهم شده و دلخور ميشوند . بنده پس از پيگيري اين موضوع به درخواست ج ناب رضا زاده اين مشکل را به اطلاع شما رساندم . باتشکر از شما
6980,با سلام صورت جلسه و فرم ارائه خدمات مجددا برا ي شرکت آسان در ارسال گرديد .
6981,بسمه تعالي همکار گرامي باسلام احتراما به استحضار مي رساند ، با توجه به انجام امور غير اداري در ساعات اداري ( بند 11 و 6 رئوس خطا ) ، با توجه به آيين نامه مورد مذکور درج در پرونده خواهد شد .
6989,با سلام اينترنت واحد پشتيباني براي بررسي ديتاي مشتريان با مشکل مواجه است . با تشکر
6990,با سلام جناب آقاي صفري متاسفانه از دو روز قبل سرعت اينترنت به شدت افت پيدا کرده است و امروز هم به کل نمي توان ريموت شد، در سرچ کردن مشکلي وجود ندارد اما براي ريموت و وصل شدن به سايت مشتري مشکل دارد، بعد از صحبت با آقاي رضازاده با تغيير اينترنت من به پارس آنلاين نيز مشکل همچنان وجود دارد . با تشکر و سپاس
7006,بسمه تعالي همکاران گرامي احتراما به استحضار مي رساند ، شرايط بيمه تکميلي خدمتتان ارسال گرديد . نرخ ساليانه براي افراد زير 60 سال : مبلغ 4.920.000 ريال 30 در صد نقد الباقي چک تا پايان ارديبهشت لطفا شرايط شرکت يا عدم شرکت خود را اعلام نماييد .
7027,1- عدم نمايش اتمام پشتيباني در صفحه اصلي 2- در صورت جواب دادن به تيکت در صفحه اصلي تعداد پيام ها به روز نمي شود
7039,بسمه تعالي جناب آقاي خبازي با سلام احتراما به استحضار مي رساند ، تا اطلاع ثانوي از دادن پشتيباني به شرکت شير و پاستوريزه پگاه اصفهان خودداري فرماييد .
7040,بسم ه تعالي با سلام و عرض خسته نباشيد خدمت همکاران عزيز همکاران محترم لطفا توجه داشته باشيد که جلسات آموزشي رايگان که هنگام خريد به مشتريان داده مي شود فقط در سال اول داراي اعتبار مي باشد و وقتي يک سال از خريد بگذرد براي آموزش به قسمت مالي متصل گردد و بعد از صحبت هاي مالي تايم براي آموزش هماهنگ گردد با تشکر
7042,جناب آقاي خبازي با سلام و احترام فرم درخواست قفل وب داراي خطا به شرح پيوست مي باشد . استدعا دارد مورد بررسي قرار گيرد . با تشکر ليلي کاظمي
7043,همکاران محترم جناب آقاي رحماني و جناب آقاي کرمي با سلام و احترام با توجه به اين که فرم درخواست قفل وب داراي خطا مي باشد و اين خطا به جناب آقاي خبازي اعلام شده است، جهت تسريع امور تا رفع خطاي فرم، قفل وب شرکت ايران تايمر به شرح ذيل درخواست مي گردد : مالي تحت وب پايدار زيرسيستم ها : مالي - خزانه - انبار - خريد – فروش داراي 10 کاربر همزمان و دو دفتر مالي نصب بر روي سرور مشتري که مشخصات آن قبلا تقديم شده است . هماهنگي نصب با جناب آقاي منفرد که اطلاعات در CRM با نام ايران تايمر درج شده است . با تشکر ليلي کاظمي - بخش فروش
7049,"امنيت نگهداري ديتا ديتا کجا ذخيره مي شود براي اطمينان بيشتر ! مشتري تمايل دارد که خودش هم بتواند ديتا را در جايي ذخيره کند . قيمت بالا در چه ساعت هايي شرکت پاسخگو است قيمت بالا عدم آگاهي از نرم افزارهاي تحت وب و تحت کلود - مشتري تحت وب را هم مشابه تحت کلود مي پندارد و حس مي کند که ديتا در سرور فروشنده ذخيره مي شود . عدم توان درک پيچيدگي ها در نرم افزارهايي مشابه پايدار وقتي که به صورت کلود ارائه مي شوند عمدتاً کساني که براي دنبال استفاده از کلود تماس مي گيرند، حسابدار نبوده و صاحبان کسب و کارهاي کوچک يا متوسط هستند . از نگاه مشتري، پروسه نرم افزارهاي تحت کلود ساده و مشابه يکديگر بوده و بيشتر قيمت را ملاک انتخاب قرار مي دهد . اپليکيشن مبايلي نرم افزار را پرس و جو مي کنند . درک معناي يکپارچه بودن برايشان مشکل است . ناآشنايي با مباحث هاستينگ و ديتا سنتر و مجازي سازي سوال مي شود که آيا يک سرور به ما اختصاص داده مي شود؟ ( استفاده از فضاي اشتراکي يا خصوصي ) چقدر فضا به آن ها اختصاص داده مي شود؟ ضمانت هاي لازم براي عدم سوء استفاده از ديتا شفافيت مديريت ديتاها براي مشتري امکان دريافت صورتحساب از سايت سرعت دسترسي به ديتا مشخصات سروري که ديتا در آن قرار مي گيرد ( مزيت سرورها براي نگهداري از ديتاها بايد مشخص گردد ). آيا هميشه و به صورت مداوم بايد اينتذرنت داشته باشند؟ امکان استفاده به صورت تستي را مي خواهند . تداوم فعاليت شرکت برايشان مهم است . آيا به سايت اينترنتي آن ها هم متصل مي شود؟ چندنفر همزمان مي توانند استفاده کنند؟ اگر شرکت ديگر فعاليتي نداشت، چگونه مي توانند ديتاها را از شرکت تحويل بگيرند؟ تا چه مدتي پس از قطع همکاري با شرکت، ديتاها در نزد شرکت مي ماند؟ برخي از افراد تحت کلود را با لينوکس يکي مي دانند . تصور بر اين است که کلود براي کسب و کارهاي کوچک است و مي پرسند اگر حجم ديتا بالا باشد، چگونه سيستم آن را ساپورت مي کند؟ اکثرا از حجم ديتاهاي خود آگاهي ندارند . اگر سرعت اينترنت پايين بود، چگونه مي توانند از نرم افزار استفاده کنند . پشتيباني 24 ساعته را خواهانند . امکان ارتباط نه تنها از طريق تيکت بلکه از طريق تماس هم بتوانند . چه تضميني وجود دارد که ديتاها تغيير نمي کنند و ديتاها صحيح است؟ دسترسي در هر لحظه به بک آپ سطح سرويس و گستردگي عملکردي که در اختيار مشتري قرار مي گيرد - تصور بر اين است که مديريت سيستم دست شرکت است و سطح عملکرد آن ها محدود است . اگر با شرکت همکاري نکردند، ديتاها در چه قالبي در اختيارشان قرار مي گيرد و روي چه نرم افزارهايي مي توانند آن ديتاها را بالا بياورند . چه تضميني براي ادامه فعاليت شرکت وجود دارد . کاربري ساده را انتظار دارند که نياز به آموزش نداشته باشد . همه امکانات در دسترس باشد از قبيل آموزش، بک آپ گيري، مديريت سيستم و اعمال تغييرات دلخواه آيا به سيستم حضور و غياب هم وصل مي شود؟ ديتاهاي سابق خود را چه طور مي توانند در نرم افزار کانورت کنند . وقتي اعلام مي شود که فلان درخواست ( مثلا کانورت ) را با درخواست شما شرکت برايتان انجام مي دهد، عقب نشيني مي کنند . امنيت نرم افزار چه طور تامين مي شود و چه تضميني وجود دارد که ديگران از آن ها استفاده نخواهند کرد و چگونه از هک شدن جلوگيري خواهيم کرد . ناآگاهي از قوانين حريم خصوصي، پيامدهاي سوءاستفاده از ديتاها و بازدارنده هاي عدم سوء استفاده "" قيمت بر اساس ميزان استفاده از منابع "" براي مشتري کاملا گنگ است . گارانتي برقراري مداوم سرويس و عدم قطعي پوشش اينترنت : آيا مي توانند به صورت آفلاين کار کنند؟ تا چه ميزان مي توانند ديتا در سيستم وارد کنند؟ معيار محاسبه ميزان ديتا چيست؟ سند؟ حجم؟ و ... مشتري داشتن چندتا خط اينترنت براي خودش را جهت جلوگيري از عدم قطعي، ضعف سيستم مي داند . مشتري دنبال استراتژي هاي شفاف، بيان مفاهيم به زبان ساده، تقسيم بندي کسب و کارهايي که مي توانند از ابر استفاده کنند، خدمات قابل ارائه با جزئيات و ... است . قرارداد اکثر شرکت ها به صورت يک طرفه بود و با تيک "" قوانين را مي پذيرم "" منعقد مي گردد . مشتري دنبال قرارداد برد - برد است . بازه زماني استفاده از نرم افزار براي مشتري مهم است . مشتري تفاوت SaaS ، LaaS و PaaS را بايد بداند تا ديد درستي از ارائه نرم افزار کاربردي به صورت سرويس داشته باشد . مشتريان به شرکت هاي برند اعتماد بيشتري دارند . صنايع کوچک دنبال کالاي لوکس نيستند . ظاهر نرم افزار ما لوکس است . آن ها دنبال راحتي استفاده، کاربرپسند بودن و پوسته هاي قابل تغيير هستند . مشتري دنبال خدمات با کيفيت بالا است تا ما را جدي بگيرد . علاوه بر سرور، مکان نگهداري ديتا هم براي مشتري مهم است . آيا امکان سفارشي سازي وجود دارد؟ چه استانداردهايي در کليه مراحل رعايت شده است، چه ضمانت هايي براي کليه مراحل وجود دارد؟ يکپارچه سازي با ساير نرم افزارها پروسه اي ساده دارد يا پيچيده؟ مشتري هزينه هاي پنهان ما را نمي بيند . براي همين قيمت ها بايد طوري انتخاب گردد که تجربه خاکريسه را داشته باشيم ."
7072,جناب آقاي خبازي با سلام و احترام؛ سپاسگزار خواهم بود اگر خطاي فرم درخواست قفل به شرح پيوست، هرچه سريع تر مورد بررسي قرار گيرد . با احترام کاظمي
7094,شماره حساب خاطره داودي 1-16950127-701-1812 شماره شبا IR190630181270116950127001
7097,جناب آقاي خبازي با سلام و احترام با توجه به اين که لينک هاي مربوط به فيلم آموزشي بخش فروش و PDF پايدار در سايت pss.ir داراي مشکل مي باشد، استدعا دارد لينک هاي فوق مورد بازبيني قرار گيرد . با احترام کاظمي
7113,جناب آقاي خبازي با سلام و احترام خواهشمند است خطاي موجو در فايل پيوستي را بررسي بفرماييد . با احترام کاظمي
7134,بسمه تعالي همکاران گرامي با سلام، به استحضار مي رساند طبق دستور مديريت محترم از اين تاريخ به بعد شرکت کارهاي ذيل را بر اساس قيمت هاي اعلام شده توسط امور مالي نسب به مشتريان ا رائه خواهد داد . 1- نصب ويندوز 2- انجام امور شبکه اي 3- انجام امور تمامي کارهاي نرم افزاري و سخت افزاري 4- ساير خدمات .....
7143,خسته نباشيد لطفا ويراشگر فکس هاي دريافتي در اتوماسيون رو براي بنده درست نمائيد .
7145,با سلام و عرض خسته نباشيد در فاکتور هاي فروش ( چاپ ويژه ) نرم افزار پايشگر بضعي فيلد هاي داخل اشخاص اين نرم افزار ما مانند نوع مشتري مالياتي يا شناسه اقتصادي در طرحي فاکتور فروش موجود نمي باد لذا درخواست داريم فيلد هاي زير در طراحي گزارش فايل هاي زير را اضافه نماييد 1. کدملي شماره ثبت 2.. شناسه اقتصادي 3. نوع مشتري مالياتي ( حقيقي حقوقي بودن ) 4. کد شهر 5. شهر و استان 6. نشاني رسمس 7. آقا / خانم 8. سقف اعتبار مشتري باتشکر فراوان از زحمات شما
7146,با سلام و عرض خسته نباشيد در نرم افزار حسابرس ويژه در اشخاص اطلاعاتي وجود دارد که در چاپ ويژه فاکتور هاي فروش آن اطلاعات قابل درج نيستند مانند کدملي / شماره ثبت شناسه اقتصادي و .... که تقاضا دارم اين موارد در اجزاء فاکتور قابل درج گردد 1. شنااسه اقتصادي 2. کدملي / شناسه ثبت 3. نوع مشتري مالياتي 4. کد شهر 5. استان شهر 6. نشاني رسم 7. آقا / خانم 8. سقف اعتبار مشتري باتشکر از زحمات فراوان شما
7152,با سلام سيستم اتاق دمو کيس PC19 مي باشد که ويندوز 10 بر روي آن نصب شده است . U : administrator P : PAYA+master IP : 192.168.10.19 gateway : 192.168.10.1 browser هاي کروم ، فايرفاکيس و اپرا نيز نصب شده است . برنامه حسابداري پنجره بهمراه sql2008R2 هم نصب شده است .
